Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
29/12/2008,15359.1778,3.7285,284.04419,3.3449,46.27323,1848.71686,64.48566,73.17045,#N/A,0.87716,#N/A,1646.983,2238.9431,#N/A,9232.45605,3.53318,292.06355,134.12787,12.76906,17443.64933
30/12/2008,16075.99479,3.70014,281.56027,3.36213,45.63559,1836.81501,64.86337,74.45786,0.12378,0.86798,1.00766,1624.52067,2234.46997,#N/A,9215.41617,3.57441,324.277,140.16616,12.94849,17358.58692
31/12/2008,#N/A,#N/A,280.09567,#N/A,#N/A,1856.42508,64.3419,73.89522,#N/A,#N/A,0.99229,1610.09499,2247.66261,#N/A,9153.38612,3.53662,141.46457,139.89092,#N/A,17473.70235
02/01/2009,17246.29044,3.80054,#N/A,3.40361,45.00246,1940.83244,#N/A,76.70126,#N/A,0.87549,1.0286,1684.91329,#N/A,#N/A,#N/A,3.61073,298.90245,#N/A,#N/A,17571.49457
05/01/2009,18424.07816,3.84139,288.75621,3.45111,45.28756,2007.67683,65.33835,78.6618,0.13156,0.8928,1.10555,1723.95099,2335.9624,41.81451,9381.95768,3.90201,693.9775,141.64335,13.66709,18240.77815
06/01/2009,19422.66755,3.98098,297.43547,3.58357,47.01083,2000.34952,68.25417,78.75626,0.1311,0.9176,1.10177,1724.86674,2370.58484,41.98188,9819.0242,3.86939,679.47598,142.86068,13.50121,18992.72956
07/01/2009,18229.02246,3.93258,295.38449,3.48756,45.90335,1933.49158,66.04973,73.10151,0.13223,0.93432,1.1046,1647.9655,2308.75613,42.94664,9695.01766,3.83832,917.06334,144.70816,13.27865,18135.6632
08/01/2009,18373.39229,3.96438,288.41071,3.49744,45.70589,1858.79827,65.30561,#N/A,0.1281,0.90825,1.07694,1626.80797,2296.21914,42.01066,9551.83037,3.75279,749.42236,136.95018,13.36293,16850.12536
09/01/2009,18298.32404,4.062,292.53763,3.49287,44.44568,1853.50333,60.66183,72.3622,0.127,0.87951,1.07329,1587.54639,2291.28514,42.07483,9221.55435,3.70645,729.87902,135.58386,13.17434,16959.30292
12/01/2009,17187.24101,3.99632,291.62398,#N/A,43.81358,1801.31511,59.26208,69.45665,0.12714,0.84635,1.06249,1535.61204,2241.31702,41.97122,8807.59138,3.49462,662.73812,133.75075,12.9538,16112.15844
